准	准 廣州話：zeon2
凋	凋 廣州話：diu1
凌	凌 廣州話：ling4
凍	凍 廣州話：dung3
凜	凜 廣州話：lam5
凝	凝 廣州話：jing4
几	几 廣州話：gei1
凡	凡 廣州話：faan4
凰	凰 廣州話：wong4
凱	凱 廣州話：hoi2
凳	凳 廣州話：dang3
凶	凶 廣州話：hung1
凸	凸 廣州話：dat6
凹	凹 廣州話：nap1_(又)aau3
出	出 廣州話：ceot1
函	函 廣州話：haam4
刀	刀 廣州話：dou1
刁	刁 廣州話：diu1
刃	刃 廣州話：jan6
分	分 廣州話：1)fan1:分開_2)fan6:本分
切	切 廣州話：1)cit3:急切_2)cai3:一切
刈	刈 廣州話：ngaai6
刊	刊 廣州話：hon1_(又)hon2
刎	刎 廣州話：man5
刑	刑 廣州話：jing4
划	划 廣州話：1)waa1:划船_2)faa3:划不來
列	列 廣州話：lit6
初	初 廣州話：co1
判	判 廣州話：pun3
別	別 廣州話：bit6
刨	刨 廣州話：paau4
利	利 廣州話：lei6
刪	刪 廣州話：saan1
刮	刮 廣州話：gwaat3
到	到 廣州話：dou3
制	制 廣州話：zai3
刷	刷 廣州話：1)caat3:刷牙_2)saat3:刷白
券	券 廣州話：hyun3_(又)gyun3
刺	刺 廣州話：ci3_行刺又讀cik3
刻	刻 廣州話：hak1
剁	剁 廣州話：doek3_(又)do3
剃	剃 廣州話：tai3
則	則 廣州話：zak1
削	削 廣州話：soek3
剋	剋 廣州話：hak1
剌	剌 廣州話：1)laat6:剌謬_2)laa1:剌了一個口子
前	前 廣州話：cin4
剎	剎 廣州話：saat3_古剎又讀caat3
剔	剔 廣州話：tik1
剖	剖 廣州話：fau2_(又)pau2
剛	剛 廣州話：gong1
剜	剜 廣州話：wun2_(又)wun1
剝	剝 廣州話：mok1
剩	剩 廣州話：sing6
剪	剪 廣州話：zin2
副	副 廣州話：fu3
割	割 廣州話：got3
剴	剴 廣州話：hoi2
創	創 廣州話：1)cong3:創造_2)cong1:刀創
剷	剷 廣州話：caan2
剽	剽 廣州話：piu5
剿	剿 廣州話：ziu2_同抄，剿襲
劃	劃 廣州話：waak6
劇	劇 廣州話：kek6
劈	劈 廣州話：pek3
劉	劉 廣州話：lau4
劍	劍 廣州話：gim3
劑	劑 廣州話：zai1
力	力 廣州話：lik6
功	功 廣州話：gung1
加	加 廣州話：gaa1
劣	劣 廣州話：lyut3
助	助 廣州話：zo6
努	努 廣州話：nou5
劫	劫 廣州話：gip3
劬	劬 廣州話：keoi4
劾	劾 廣州話：hat6
勁	勁 廣州話：ging6
勃	勃 廣州話：but6
勇	勇 廣州話：jung5
勉	勉 廣州話：min5
勒	勒 廣州話：lak6
動	動 廣州話：dung6
勗	勗 廣州話：juk1
勘	勘 廣州話：ham3_(又)ham1
務	務 廣州話：mou6
勛	勛 廣州話：fan1
勝	勝 廣州話：1)sing3:聖地_2)sing1:勝任
勞	勞 廣州話：lou4_慰勞又讀lou6
募	募 廣州話：mou6
勢	勢 廣州話：sai3
勤	勤 廣州話：kan4
勵	勵 廣州話：lai6
勸	勸 廣州話：hyun3
勻	勻 廣州話：wan4
勾	勾 廣州話：ngau1_(古)寫作句
勿	勿 廣州話：mat6
包	包 廣州話：baau1
匆	匆 廣州話：cung1
匈	匈 廣州話：hung1
匍	匍 廣州話：pou4
匏	匏 廣州話：paau4
匐	匐 廣州話：fuk6_(又)baak6
匕	匕 廣州話：bei3_(又)bei2
化	化 廣州話：faa3
北	北 廣州話：bak1
匙	匙 廣州話：1)ci4:湯匙_2)si4:鑰匙
匝	匝 廣州話：zaap3
匠	匠 廣州話：zoeng6
匡	匡 廣州話：hong1
